"name";"count";"model";"sku";"price";"discriptions";"brend";"foto";"cat1";"cat2";"cat3"
"Кастрюля с крышкой 7 л Maestro MR 4326";998;4326;"4326- yavshoke";571;"<ul>
<li>Современный дизайн</li> <li>Внутреннее керамическое антипригарное покрытие</li> <li>Индукционное дно</li> <li>Удобная ручка
</li> <li>Прочный литой алюминий</li> <li>Возможные цвета: оранжевый, красный</li> <li>Ø 26 см, объём 7,0 л.</li> <li>Уточняйте цвет или оттенок изделия</li> </ul>";"Maestro";"data/yavshoke/64678824_w640_h640_4324.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 4 л Maestro MR 3507-22";998;"3507-22";"3507-22- yavshoke";569;"<ul>
<li>Высококачественная нержавеющая сталь</li> <li>Толщина стенок 0,8 мм</li> <li>Многослойное термоаккумулирующее дно</li> <li>Шкала объема жидкости внутри изделия</li> <li>Кастрюля Ø22 см - 4,0 л.</li> </ul>";"Maestro";"data/yavshoke/64714320_w640_h640_350722.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля с крышкой 4.5 л Maestro MR 4324";998;4324;"4324- yavshoke";459;"<ul>
<li>Современный дизайн</li> <li>Внутреннее керамическое антипригарное покрытие</li> <li>Индукционное дно</li> <li>Удобная ручка
</li> <li>Прочный литой алюминий</li> <li>Возможные цвета: оранжевый, красный</li> <li>Ø 24 см, объём 4,5 л.</li> <li>Уточняйте цвет или оттенок изделия</li> </ul>";"Maestro";"data/yavshoke/64678573_w640_h640_4324.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля с крышкой 3.5 л Maestro MR 4322";998;4322;"4322- yavshoke";380;"<ul>
<li>Современный дизайн</li> <li>Внутреннее керамическое антипригарное покрытие</li> <li>Индукционное дно</li> <li>Удобная ручка
</li> <li>Прочный литой алюминий</li> <li>Возможные цвета: оранжевый, красный</li> <li>Ø 22 см, объём 3,5 л.</li> <li>Уточняйте цвет или оттенок изделия</li> </ul>";"Maestro";"data/yavshoke/64678353_w640_h640_4324.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 2 л Maestro MR 3507-18";998;"3507-18";"3507-18- yavshoke";407;"<ul>
<li>Высококачественная нержавеющая сталь</li> <li>Толщина стенок 0,8 мм</li> <li>Многослойное термоаккумулирующее дно</li> <li>Шкала объема жидкости внутри изделия</li> <li>Кастрюля Ø18 см - 2,0 л.</li> </ul>";"Maestro";"data/yavshoke/64712109_w640_h640_350718.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля Granchio EcoPan 2.2 л. 88064";998;"V88064";"V88064- yavshoke";372;"<p>Кастрюля с крышкой<br> Диаметр 18 см<br> Объем 2,2л<br> Материал: алюминий<br> Керамическое антипригарное покрытие<br> Эргономичные ненагревающиеся ручки из бакелита делают посуду более удобной, простой и безопасной в использовании. Рекомендована ручная мойка.<br> Подходит для всех плит, включая индукционные.</p>";"Granchio";"data/yavshoke/114907276_w640_h640_cid435614_pid53510725-83e728a6.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля Granchio EcoPan 2.9 л. 88065";998;"V88065";"V88065- yavshoke";479;"<p>Кастрюля с крышкой<br> Диаметр 20 см<br> Объем 2,9л<br> Материал: алюминий<br> Керамическое антипригарное покрытие<br> Эргономичные ненагревающиеся ручки из бакелита делают посуду более удобной, простой и безопасной в использовании. Рекомендована ручная мойка.<br> Подходит для всех плит, включая индукционные.</p>";"Granchio";"data/yavshoke/114907277_w640_h640_cid435614_pid53510726-1adb286b.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля Granchio EcoPan 5.9 л. 88066";998;"V88066";"V88066- yavshoke";536;"<p>Тип: традиционная<br> Форма: круглая<br> Объём: 5.9 л<br> Диаметр: 24 см<br> Особенности многослойное дно, отверстие для пара, внутреннее антипригарное покрытие<br> Материал кастрюли нержавеющая сталь<br> Материал крышки стекло, бакелит, нержавеющая сталь<br> Материал ручек бакелит<br> Источник нагрева газовая плита, галогеновая плита, электроплита, стеклокерамическая плита, индукционная плита</p>";"Granchio";"data/yavshoke/114907278_w640_h640_cid435614_pid53510727-9a35fdb9.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля из нержавеющей стали 4 л Kamille 5620S";998;"a5620S";"a5620S- yavshoke";332;"<ul>
<li>Материал: высокопрочная нержавеющая сталь 18/10</li> <li>Крышка: стекло</li> <li>Диаметр, см: 20</li> <li>Объем, л: 4.0</li> <li>Особенности:</li> <li>изготовлена из высокопрочной нержавеющей стали, не подвергающейся коррозии и потускнению</li> <li>идеальна для интенсивного использования, устойчива к износу</li> <li>имеет пятислойное капсульное дно</li> <li>отличается высокой теплопроводимостью и распределением температуры, что обеспечивает быстрое нагревание и длительное удержание тепла</li> <li>пригодна для любых видов плит</li> <li>пригодна для мытья в посудомоечной машине
</li> <li>практичный ободок предотвращает проливание</li> <li>удобна при использовании и чистке</li> <li>Уход за посудой:</li> <li>перед началом использования необходимо удалить с изделия все ярлыки и элементы упаковки, тщательно вымыть изделие и просушить</li> <li>после каждого использования дождаться охлаждения изделия, затем тщательно вымыть и просушить</li> <li>не рекомендуется использовать абразивные моющие средства и металлические щетки</li> <li>Использование и правила безопасности:</li> <li>не подвергать изделия резким изменениям температуры</li> <li>не оставлять пустую посуду на огне</li> <li>избегать попадания пламени на ручки и боковые стенки посуды</li> <li>не использовать острые металлические аксессуары</li> </ul>";"Kamille";"data/yavshoke/117468239_w640_h640_5620s.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля с крышкой Wellberg WB 31010";998;"WB 31010";"WB 31010- yavshoke";337;"<ul>
<li>Объем : 3,5 л,</li> <li>Материал : жаропрочная керамика,</li> <li>Цвет - оранжевый</li> </ul>";"Wellberg";"data/yavshoke/120249876_w640_h640_wb_31010.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля с крышкой Wellberg WB 31007";998;"WB 31007";"WB 31007- yavshoke";337;"<ul>
<li>Объем : 3,5 л,</li> <li>Материал : жаропрочная керамика,</li> <li>Цвет -  бежевый</li> </ul>";"Wellberg";"data/yavshoke/120251339_w640_h640_wb_31007.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля с крышкой Wellberg WB 31004";998;"WB 31004";"WB 31004- yavshoke";379;"<ul>
<li>Объем : 3,5 л,</li> <li>Материал : жаропрочная керамика,</li> <li>Цвет - черный
</li> </ul>";"Wellberg";"data/yavshoke/120251459_w640_h640_wb_31004.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля с крышкой Wellberg WB 31011";998;"WB 31011";"WB 31011- yavshoke";273;"<ul>
<li>Объем : 2,5 л,</li> <li>Материал : жаропрочная керамика,</li> <li>Цвет - оранжевый</li> </ul>";"Wellberg";"data/yavshoke/120251819_w640_h640_wb_31011.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля с крышкой Wellberg WB 31008";998;"WB 31008";"WB 31008- yavshoke";273;"<ul>
<li>Объем : 2,5 л,</li> <li>Материал : жаропрочная керамика,</li> <li>Цвет - бежевый</li> </ul>";"Wellberg";"data/yavshoke/120252480_w640_h640_wb_31008.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля с крышкой Wellberg WB 31002";998;"WB 31002";"WB 31002- yavshoke";282;"<ul>
<li>Объем : 2,5 л,</li> <li>Материал : жаропрочная керамика,</li> <li>Цвет - красный</li> </ul>";"Wellberg";"data/yavshoke/120252916_w640_h640_wb_31002.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля с крышкой Wellberg WB 31012";998;"WB 31012";"WB 31012- yavshoke";210;"<ul>
<li>Объем : 1,8 л,</li> <li>Материал : жаропрочная керамика,</li> <li>Цвет - оранжевый</li> </ul>";"Wellberg";"data/yavshoke/120253720_w640_h640_wb_31012.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля с крышкой Wellberg WB 31009";998;"WB 31009";"WB 31009- yavshoke";210;"<ul>
<li>Объем : 1,8 л,</li> <li>Материал : жаропрочная керамика,</li> <li>Цвет - бежевый</li> </ul>";"Wellberg";"data/yavshoke/120253904_w640_h640_wb_31009.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля Granchio Terracotta 3 л. 88127";998;"V88127";"V88127- yavshoke";448;"<p>Кастрюля с крышкой<br> Материал: высококачественный алюминий, керамическое покрытие от Granchio<br> Размер: Ø 20 см<br> Объем: 3,0 л</p>";"Granchio";"data/yavshoke/129249685_w640_h640_cid435614_pid62748417-6e3a2fc9.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля Granchio Terracotta 5.3 л. 88128";998;"V88128";"V88128- yavshoke";591;"<p>Кастрюля с крышкой<br> Материал: высококачественный алюминий, керамическое покрытие от Granchio<br> Размер: Ø 24 см<br> Объем: 5,3 л</p>";"Granchio";"data/yavshoke/129249716_w640_h640_cid435614_pid62748447-ac8497ec.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля Vinzer 2.2 л. 89053";998;"V89053";"V89053- yavshoke";504;"<p>Высококачественная нержавеющая сталь FERRINOX® 18/10<br> Технология крепления дна «Impact Bonding» – гарантия долговечности<br> Удобная ненагревающаяся бакелитовая ручка для безопасного использования<br> Крепление ручек точечной пайкой – исключительная прочность и длительный срок эксплуатации<br> Строгий и элегантный дизайн</p>";"Vinzer";"data/yavshoke/129250102_w640_h640_cid435614_pid62748554-21eccaf7.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 2л чавунна з скл. кришкою Биол К201ПС";998;"К201ПС";"К201ПС- yavshoke";502;"<p>Тип традиционная<br> Форма круглая<br> Объём 2 л<br> Диаметр 20 см<br> Высота стенок 14.1 см<br> Толщина стенок 3.5 мм<br> Толщина дна 6 мм<br> Особенности антипригарное покрытие<br> Материал кастрюли алюминий<br> Материал крышки стекло<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для духовок (без крышки)<br> Можно мыть в посудомоечной машине +</p>";"Биол";"data/yavshoke/152447202_w640_h640_k201ps.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 3л чавунна з скл. кришкою Биол К301ПС";998;"К301ПС";"К301ПС- yavshoke";559;"<p>Тип традиционная<br> Форма круглая<br> Объём 3 л<br> Диаметр 22 см<br> Высота стенок 15.1 см<br> Толщина стенок 3.5 мм<br> Толщина дна 6 мм<br> Особенности антипригарное покрытие<br> Материал кастрюли алюминий<br> Материал крышки стекло<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для духовок (без крышки)<br> Можно мыть в посудомоечной машине</p>";"Биол";"data/yavshoke/152447254_w640_h640_k201ps.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 4л чавун з скляною кр. Биол 0204С";998;"0204С";"0204С- yavshoke";565;"<p>Тип традиционная<br> Форма круглая<br> Объём 4 л<br> Диаметр 22 см<br> Высота стенок 14.5 см<br> Толщина дна 4 мм<br> Материал кастрюли чугун<br> Материал крышки стекло<br> Материал ручек чугун<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для индукционных плит, для духовок (без крышки)</p>";"Биол";"data/yavshoke/152447812_w640_h640_0204s.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля 4л чавунна з скл. Кришкою Биол К401ПС";998;"К401ПС";"К401ПС- yavshoke";611;"<p>Тип традиционная<br> Форма круглая<br> Объём 4 л<br> Диаметр 24 см<br> Высота стенок 15.5 см<br> Толщина стенок 3.5 мм<br> Толщина дна 6 мм<br> Особенности антипригарное покрытие<br> Материал кастрюли алюминий<br> Материал крышки стекло<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для духовок (без крышки)<br> Можно мыть в посудомоечной машине</p>";"Биол";"data/yavshoke/152447301_w640_h640_k201ps.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з кришкою 3л Биол К0300";998;"К0300";"К0300- yavshoke";106;"<p>Тип традиционная<br> Форма круглая<br> Объём 3 л<br> Диаметр 22 см<br> Материал кастрюли алюминий<br> Материал крышки алюминий<br> Материал ручек алюминий<br> Подходит для газовых плит, для галогеновых/стеклокерамических плит, для электроплит</p>";"Биол";"data/yavshoke/152449460_w640_h640_k0100.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з кришкою 5л Биол К0500";998;"К0500";"К0500- yavshoke";125;"<p>Тип традиционная<br> Форма круглая<br> Объём 5 л<br> Диаметр 260 см<br> Материал кастрюли алюминий<br> Материал крышки алюминий<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для духовок</p>";"Биол";"data/yavshoke/152449632_w640_h640_k0100.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з литою кришкою-сковородою 2л Биол К202П";998;"К202П";"К202П- yavshoke";495;"<p>Тип традиционная<br> Форма круглая<br> Объём 2 л<br> Диаметр 20 см<br> Высота стенок 13.6 см<br> Особенности антипригарное покрытие<br> Материал кастрюли алюминий<br> Материал крышки алюминий (крышка-сковорода)<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для духовок</p>";"Биол";"data/yavshoke/152450202_w640_h640_k202p.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з литою кришкою-сковородою 4л Биол К402П";998;"К402П";"К402П- yavshoke";579;"<p>Тип традиционная<br> Форма круглая<br> Объём 4 л<br> Диаметр 24 см<br> Высота стенок 15 см<br> Особенности антипригарное покрытие<br> Материал кастрюли алюминий<br> Материал крышки алюминий (крышка-сковорода)<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для духовок</p>";"Биол";"data/yavshoke/152452115_w640_h640_k202p.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з потовщеним дном та кришкою 2,5 л Биол К0251";998;"К0251";"К0251- yavshoke";114;"<p>Тип традиционная<br> Форма круглая<br> Объём 2.5 л<br> Диаметр 22 см<br> Высота стенок 10.5 см<br> Толщина стенок 2.9 мм<br> Толщина дна 3 мм<br> Материал кастрюли алюминий<br> Материал крышки алюминий<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит<br> Можно мыть в посудомоечной машине</p>";"Биол";"data/yavshoke/157386410_w640_h640_k0251_1.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з потовщеним дном та кришкою 3,5 л Биол К0351";998;"К0351";"К0351- yavshoke";135;"<p>Тип традиционная<br> Форма круглая<br> Объём 3.5 л<br> Диаметр 24 см<br> Высота стенок 12.2 см<br> Толщина стенок 2.9 мм<br> Толщина дна 3 мм<br> Материал кастрюли алюминий<br> Материал крышки алюминий<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит<br> Можно мыть в посудомоечной машине</p>";"Биол";"data/yavshoke/157387396_w640_h640_k0351_1.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з потовщеним дном та кришкою 4,5л Биол К0451";998;"К0451";"К0451- yavshoke";140;"<p>Тип традиционная<br> Форма круглая<br> Объём 4.5 л<br> Диаметр 26 см<br> Высота стенок 12.2 см<br> Толщина стенок 2.9 мм<br> Толщина дна 3 мм<br> Материал кастрюли алюминий<br> Материал крышки алюминий<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит<br> Можно мыть в посудомоечной машине</p>";"Биол";"data/yavshoke/157387532_w640_h640_k0251_1.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з потовщеним дном та кришкою 4л Биол К401";998;"К401";"К401- yavshoke";196;"<p>Тип традиционная<br> Форма круглая<br> Объём 4 л<br> Диаметр 24 см<br> Высота стенок 15.5 см<br> Материал кастрюли алюминий<br> Материал крышки алюминий<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для духовок (без крышки)<br> Можно мыть в посудомоечной машине</p>";"Биол";"data/yavshoke/152454006_w640_h640_k201.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з потовщеним дном та кришкою 5л Биол К501";998;"К501";"К501- yavshoke";213;"<p>Тип традиционная<br> Форма круглая<br> Объём 5 л<br> Диаметр 26 см<br> Высота стенок 16.6 см<br> Материал кастрюли алюминий<br> Материал крышки алюминий<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для духовок (без крышки)<br> Можно мыть в посудомоечной машине</p>";"Биол";"data/yavshoke/152454073_w640_h640_k201.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з потовщеним дном та кришкою-сковородою 2л Биол К202";998;"К202";"К202- yavshoke";199;"<p>Тип традиционная<br> Форма круглая<br> Объём 2 л<br> Диаметр 20 см<br> Высота стенок 13.6 см<br> Материал кастрюли алюминий<br> Материал крышки алюминий (крышка-сковорода)<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для духовок<br> Можно мыть в посудомоечной машине</p>";"Биол";"data/yavshoke/152455194_w640_h640_k202.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
"Кастрюля з потовщеним дном та кришкою-сковородою 3л Биол К302";998;"К302";"К302- yavshoke";222;"<p>Тип традиционная<br> Форма круглая<br> Объём 3 л<br> Диаметр 22 см<br> Высота стенок 14.6 см<br> Материал кастрюли алюминий<br> Материал крышки алюминий (крышка-сковорода)<br> Материал ручек алюминий<br> Подходит для газовых плит, для электроплит, для галогеновых/стеклокерамических плит, для духовок<br> Можно мыть в посудомоечной машине</p>";"Биол";"data/yavshoke/152455267_w640_h640_k202.jpg";"Кухня и столовая";"Кухонная посуда";"Кастрюли "
